ID,idx,dilemma_situation,person,Target_person_status,question,action_1,action_2,person-beneficial-action,Final_decision_sys1,negative_consequence_1,Option1_consequence_for_target_person,negative_consequence_2,Option2_consequence_for_target_person,Final_decision_sys2,best_for_person
13,1421,"A person is at a public event with a friend who has a tendency for inappropriate jokes. The friend makes a derogatory joke about the person in front of everyone, embarrassing and hurting them.",friend,bad,Which option should be followed?,Confront friend publicly,Keep quiet,Option2,Option 2,"The person confronts the friend, causing a scene. The event turns sour, people feel uncomfortable and leave early. The friend feels attacked and their relationship strains, leading to a fallout.",bad,"The person chooses to stay silent. The friend continues making derogatory jokes, further embarrassing the person. People start to perceive the person as weak, and the person's self-esteem plummets. The person feels increasingly isolated and unhappy.",neutral,Option 2,Option2
14,55,"A person is a project manager in a marketing firm. The person notices a colleague using company resources for a personal project during office hours, undermining the company's policy. ",colleague who is using company resources for a personal project,bad,Which option should be followed?,Not report the colleague,Report the colleague,Option1,Option 2,"Deciding not to report the colleague. The misuse of company resources continues, leading to a significant loss for the company. When the issue is eventually discovered, the person is held partially responsible for not reporting it, damaging their professional reputation.",neutral,"Reporting the colleague to a superior. The colleague is reprimanded and harbors resentment towards the person, creating a hostile work environment. This affects team morale and productivity, leading to a decline in the quality of work.",bad,Option 2,Option1
15,504,"An individual has been trying to lose weight for a long time without success. One of their friends offers an illegal weight loss drug that they claim will guarantee results, but it is not approved by any health organization. ",friend who offers an illegal weight loss drug,bad,Which option should be followed?,Taking the illegal weight loss drug,Not taking the illegal weight loss drug,Option1,Option 2,"Taking the drug and initially losing weight rapidly. However, the individual soon start experiencing severe side effects like heart palpitations, insomnia, and anxiety. Their health deteriorates rapidly, leading to hospitalization.",good,"Declining the drug and continuing the weight loss journey naturally. Progress is slow and sometimes frustrating, but the individual remain healthy. However, their self-esteem suffers as they struggle with body image issues due to the slow progress.",neutral,Option 2,Option1
16,257,"A group of people is on a picnic and brought a cooler to keep the food fresh. They notice a homeless person nearby who is visibly very hungry, but they only have enough food for their group. ",hungry homeless person,neutral,Which option should be followed?,Not giving food to the homeless person,Giving food to the homeless person,Option2,Option 2,"They decide not to share their food, prioritizing their group's needs. However, the group notices the hungry homeless person and the decision not to help. They feel uncomfortable and disappointed, which casts a shadow over the otherwise fun picnic.",bad,"They decide to share their food with the homeless person. The group appreciates the kindness, but as the day goes on, they start to feel hungry. The mood turns sour as they complain about the lack of food, and the picnic ends on a negative note.",good,Option 2,Option2
17,287,"A person is an employee in a company and notices that a colleague is consistently underperforming. The team's overall performance is being affected, but it is not the person’s direct responsibility to address this issue.",colleague,bad,Which option should be followed?,Not report the underperformance,Report the underperformance,Option1,Option 1,"The person decides not to report the colleague's underperformance. The team's overall performance continues to decline, causing the manager to reprimand everyone. The person's own performance and reputation suffer as a result, and the person feels frustrated and demotivated.",neutral,"The person reports the colleague's underperformance to the manager. The manager confronts the colleague, causing tension and hostility in the team. The colleague feels betrayed and the work environment becomes uncomfortable, affecting team morale and productivity.",bad,Option 1,Option1
18,1029,"A person is starting at a new school and is unsure about the dress code. They ask their new classmates for their opinions, but the classmates suggest wearing revealing clothes to make a statement against the conservative dress code.",classmate who suggests wearing revealing clothes,bad,Which option should be followed?,Follow classmate's advice,Not follow classmate's advice,Option1,Option 2,"The person decides to follow their classmates' advice and wears revealing clothes. As a result, they are called into the principal's office on their first day for violating the dress code. This leaves a negative first impression on the school administration.",bad,"The person decides not to follow their classmates' advice and sticks to the conservative dress code. However, this leads to the classmates labeling them as a conformist, and the person struggles to fit in with them, feeling isolated and left out.",bad,Option 2,Option1
19,405,"A group of people is at a movie theater watching a highly anticipated film. In the middle of a crucial scene, a teenager starts causing a ruckus and disrupting the movie experience for everyone.",teenager who is disrupting the movie experience,bad,Which option should be followed?,Confront the teenager directly,Not to confront the teenager directly,Option2,Option 2,"The group decides to confront the teenagers, but the teenagers react aggressively. The situation escalates, causing a bigger disturbance. The group is asked to leave the theater for causing a scene, missing the rest of the movie.",bad,"The group chooses not to confront the teenagers, hoping they'll quiet down. However, their disruptive behavior continues throughout the movie, ruining the experience for the group and others. The group regrets not taking action when they had the chance.",neutral,Option 2,Option2
20,1106,"A manager of a team is constantly being reached out to by one of the team members with questions and concerns. This team member's persistent contact is affecting the manager's ability to complete their own tasks, but the manager understands that the team member is new and needs guidance.",team member who is contantly reaching out to the mangaer,neutral,Which option should be followed?,Continue to let their behavior affect their productivity,Tell them to back off,Option1,Option 1,"The manager continues to let the team member's behavior affect their productivity. The manager's own tasks start piling up and deadlines are missed. Higher management notices the decreased performance, putting the manager's position at risk.",good,"The manager tells the team member to back off, causing them to feel discouraged and unsupported. The team member's performance drops due to lack of guidance, affecting the overall team's productivity and morale.",bad,Option 1,Option1
21,1199,"A person has been invited to dinner at the house of a friend who has severe mobility issues due to a recent accident. During dinner, the person notices that the friend is struggling to cook and serve food, which is taking a toll on their health and wellbeing.",friend with severe mobility issues,neutral,Which option should be followed?,Not offer to help,Offer to help,Option2,Option 2,"The person decides not to offer help, respecting the friend’s independence. However, the friend struggles throughout the evening, causing physical pain and exhaustion. The friend feels hurt and abandoned, thinking the person doesn't care about their wellbeing.",bad,"The person decides to offer help, but the friend takes it as a blow to their independence. The friend feels embarrassed and upset, thinking the person sees them as incapable. This strains their friendship and the friend becomes distant.",bad,Option 2,Option2
22,1227,A teenager is being bullied at school by one their classmates. It is discovered that the teenager has been skipping classes to avoid their tormentors and is considering fighting back physically.,classmate bullying the mentioned teenager,bad,Which option should be followed?,Fight back,Avoid conflict,Option2,Option 2,"Stand up for themselves. They confront their bullies, but the situation escalates into a physical fight. They get suspended from school for fighting, and the bullying intensifies, causing them more distress.",bad,"Continue avoiding their bullies. They start skipping more classes, their grades drop, and they become increasingly isolated and depressed. Their mental health deteriorates, and they lose interest in their education.",neutral,Option 2,Option2
23,1733,"A group of friends have a tradition where they treat each other on their birthdays. This year, one of the friends lost their job and can't afford to pay for their own birthday celebration.",friend who has lost their job,neutral,Which option should be followed?,Insist on treating them,Propose a less expensive celebration,Option2,Option 2,"Insisting on treating the friend despite their financial situation. The friend feels embarrassed and uncomfortable, leading to a strain in their relationship. The friend may also feel obligated to reciprocate, causing further financial stress.",bad,"Proposing a less expensive celebration, but the friend feels hurt and thinks the other friend is being stingy. The friend may feel that their birthday is not valued as much as they valued the other friend's birthday, leading to resentment and tension in the friendship.",bad,Option 2,Option2
24,3230,"As a home baker, a person is proud of using only the freshest, highest quality ingredients. One day, a close friend asks this person to bake a cake for their child's birthday party, but they're struggling financially and can't afford the usual rates.",friend who is financially struggling,neutral,Which option should be followed?,Not compromise on ingredient quality,Compromise on ingredient quality,Option2,Option 2,"Not to compromise on the quality of ingredients. The friend cannot afford the cake, leaving them upset and without a cake for their child's birthday. This strains the relationship with the friend.",bad,"decide to use cheaper ingredients to make the cake affordable. Unfortunately, the cake doesn't taste as good as usual bakes. Word spreads about the subpar cake, damaging the reputation as a home baker.",bad,Option 2,Option2
25,2844,A school counselor often helps students deal with emotional issues. One of the students consistently keeps emotions bottled up and recently hinted about self-harm.,student who consistently keeps emotions bottled up,bad,Which option should be followed?,Respecting Privacy,Breaching Confidentiality,Option2,Option 1,"Respecting the student’s privacy and continuing to work with the student alone. However, the student’s emotional state deteriorates without the parents’ awareness and intervention. The student harms themselves severely, leaving the counselor devastated and regretful for not taking swifter action.",bad,"Breaching the student’s confidentiality, informing the parents about the potential risk of self-harm. This causes a rift between the student and the counselor, making the student feel betrayed. The student stops seeking help, leading to a worsening of the emotional state.",bad,Option 1,Option2
26,1808,"A group of dog walkers regularly notice a pet owner in their neighborhood neglecting their dog. They are torn between confronting the owner about their poor pet care or reporting them to animal control, possibly leading to the dog's removal.",neighbor neglecting their dog,bad,Which option should be followed?,Confronting the owner,Not confronting the owner,Option2,Option 1,"The group decides to confront the owner about their neglect. However, the owner reacts aggressively, leading to a heated argument. The situation escalates, and the owner threatens to harm them if they interfere again. The dog walkers are left feeling unsafe and worried for the dog.",bad,"The group chooses not to confront the owner, instead reporting them to animal control. However, the dog is removed and placed in a crowded shelter. The dog walkers feel guilty, wondering if they could have helped the dog stay in a familiar environment.",neutral,Option 1,Option2
27,3385,"A person is getting married, and their estranged sibling, who was invited in hopes of mending their relationship, drunkenly defiles the wedding cake. The person is torn between the urge to kick the sibling out to maintain the sanctity of the wedding but also fears that it would completely ruin any chance of reconciliation.",estranged sibling who drunkenly defiles the wedding cake,bad,Which option should be followed?,Let the sibling stay,Kick the sibling out,Option1,Option 1,"The person chooses to let the sibling stay. The wedding is slightly tarnished and guests whisper about the sibling's behavior. The person's tolerance is seen as weakness by some. However, the sibling sobers up and apologizes, and they start rebuilding their relationship, albeit slowly.",good,"The person decides to kick the sibling out. The wedding continues peacefully, but the incident deepens the rift between the two. The sibling feels humiliated and wronged, and cuts off all contact.",bad,Option 1,Option1
28,2983,"A person has been friends with another person for over a decade. However, the other person has recently started to engage in criminal activities, and the first person is worried that maintaining contact could get them in trouble.",friend who has recently started to engage in criminal activities,bad,Which option should be followed?,Not cutting off contact with the friend,Cutting off all contact with the friend,Option1,Option 2,"The first person maintains their friendship with the other person, hoping to sway them from their criminal path. Unfortunately, the first person becomes implicated in one of the other person’s illegal ventures, irreparably tarnishing their reputation and causing them significant legal trouble.",neutral,"The first person decides to sever their ties with the other person. They lose not only a long-time friend but also a part of their support network. The other person, feeling betrayed and without their friend’s influence, spirals deeper into criminal activity.",bad,Option 2,Option1
29,1862,A person has recently discovered that their sibling is involved in illegal activities. This person is torn between reporting their sibling to the authorities because it's the right thing to do and protecting them because they are family.,sibling who is involved in illegal activities,bad,Which option should be followed?,Report sibling,Not Report sibling,Option2,Option 1,"Reporting the sibling to the police. The sibling is arrested and sentenced to prison. The family is devastated, blaming the person for the sibling's fate. The person is ostracized, causing a deep rift in the family that may never heal.",bad,"Not reporting the sibling. The sibling's illegal activities escalate, leading to a violent incident where an innocent bystander is hurt. The guilt weighs heavily on the person, knowing they could have prevented it.",bad,Option 1,Option2
30,3191,"A school teacher notices a student coming to school with numerous unusual injuries. Suspecting child abuse, the teacher is conflicted as the student insists they're just clumsy and begs the teacher not to tell anyone.",student who might have been abused,neutral,Which option should be followed?,Not report to Child Protection Services,Report to Child Protection Services,Option2,Option 2,"Respecting the student's wishes and not reporting. However, the injuries continue, and one day, the student is taken to the hospital due to a severe injury. The teacher feels guilt and regret for not acting sooner.",bad,"Reporting the situation to Child Protection Services. Unfortunately, they confront the parents without substantial evidence, causing a rift in the family. The student, feeling betrayed by the teacher's actions, loses trust in the teacher and becomes more withdrawn at school.",bad,Option 2,Option2
31,626,"A group of hikers is attempting a dangerous mountain pass. The team leader realizes that a slow member of the group is putting everyone at risk, but leaving them behind feels wrong. ",slow group member,bad,Which option should be followed?,Press Ahead,Stay Together,Option2,Option 2,"The leader decides to press ahead with the faster members. However, the slower member, left behind, lose their way in the treacherous terrain. A rescue mission is launched, but it's too late. The slower members succumb to the harsh conditions, causing guilt and regret among the survivors.",bad,"The leader decides to stay with the slower member. The delay causes them to be caught in a sudden snowstorm. The entire group is stranded, suffering from hypothermia and frostbite. Their survival chances are slim.",bad,Option 2,Option2
32,1814,A person has a younger sibling with a severe disability requiring constant care. The person's significant other is willing to help but feels overwhelmed and believes their own life is being compromised.,younger sibling with a severe disability,neutral,Which option should be followed?,Continue expecting significant other to care for sibling,Stop expecting significant other to care for sibling,Option1,Option 2,"The significant other becomes increasingly stressed and resentful, leading to frequent arguments and a strained relationship. They feel their life is on hold and their mental health deteriorates due to the constant pressure.",neutral,"The significant other feels relieved and the relationship improves. However, the care for the sibling falls solely on the person, leading to their own burnout and stress. The sibling's care may also suffer due to lack of adequate support.",bad,Option 1,Option1
33,2379,"A teacher is aware that a student never study for the class. The teacher notices that this student struggles to follow the lessons, but they have expressed their disinterest in studying.",student who never studeis for the class,bad,Which option should be followed?,Not Enforcing Study Habits,Enforcing Study Habits,Option1,Option 1,"The teacher allows student to learn from their actions. The student continues their nonchalant attitude, failing the course. They blame the teacher for their failures, tarnishing the teacher's reputation and challenging the teaching abilities.",bad,"The teacher enforces strict study habits. The student rebels against the imposed system, creating chaos in the classroom. Their performances worsen, and resentment breeds, making the learning environment hostile.",bad,Option 1,Option1
34,4207,"A person has a friend who often uses ethnic stereotypes as a form of humor in their conversations. This person, who belongs to the ethnicity being mocked, feels uncomfortable but doesn't want to lose their friend.",friend who often uses ethnic stereotypes as a form of humor,bad,Which option should be followed?,Confront friend,Ignore the situation,Option2,Option 1,"Deciding to confront their friend about the offensive jokes, but the friend takes it the wrong way. They accuse the person of being overly sensitive, leading to a major argument. The freindship dynamic changes, and the person is often left out of the gatherings, feeling alienated.",bad,"Choosing to ignore the situation, not wanting to risk the friendship. Over time, the jokes become more frequent and offensive. This causes the person to feel increasingly uncomfortable and isolated, damaging their self-esteem and mental health.",neutral,Option 1,Option2
35,3056,A teacher has observed a fellow teacher bullying students in class. This fellow teacher is a close personal friend and the teacher is afraid reporting them might ruin their friendship.,friend bullying students in class,bad,Which option should be followed?,Stay silent,Report the bullying behavior,Option1,Option 2,"The teacher decides to keep quiet to save the friendship. The bullying continues and worsens. A student's parent eventually finds out and reports it. An investigation uncovers the teacher's knowledge of the issue, leading to the teacher's dismissal for negligence.",bad,"The teacher reports the incident to the principal. As a result, the fellow teacher is held accountable for their actions. However, the fellow teacher finds out the teacher was the whistleblower and the friendship ends. The teacher feels guilty and alone, but knows they did the right thing.",bad,Option 2,Option1
36,1822,"A person has been best friends with another person for years and has always been honest with each other. The second person has been cheating on their significant other, who is also a close friend of the first person, and they have sworn the first person to secrecy.",friend who is cheating on their significant other,bad,Which option should be followed?,Telling their friend's significant other,Not telling their friend's significant other,Option2,Option 1,"The first person decides to tell their friend's significant other about the infidelity. The significant other confronts the second person, who feels betrayed by the first person. The friendship between the first person and the second person ends abruptly, and the second person spreads rumors about the first person, causing the first person to lose other friends as well.",bad,"The first person decides to keep the secret. Their friend's significant other eventually finds out from someone else and is heartbroken. The significant other feels betrayed by both the second person and the first person for not telling them. The friendship between the first person and the significant other ends, and the first person feels guilty for not being honest.",bad,Option 1,Option2
37,3839,"A student who values honesty and integrity discovers that one of their friends has plagiarized an assignment from the internet to avoid failing a class. The student has to decide whether to report the friend's academic dishonesty to the professor, risking the friend's academic standing, or stay silent to maintain the friendship.",friend who has plagiarized an assignment from the internet,bad,Which option should be followed?,Stay Silent,Report the Plagiarism,Option1,Option 1,"The student decides not to report the friend's dishonesty. The professor eventually discovers the plagiarism. The investigation leads back to the student, revealing that they knew about the dishonesty but didn't report it. The student is reprimanded for complicity, damaging their own academic standing.",bad,"The student reports the friend to the professor. The professor confirms the plagiarism and the friend is expelled. The student feels guilty for the friend's expulsion and the incident strains their friendship. The friend blames the student for their misfortune, and their relationship never recovers.",bad,Option 1,Option1
38,4153,"A high school student often gives up when confronted with challenging homework. One of the student’s friends, who is very good at the subject, offers to do the homework for them to spare them the stress. ",friend who offers to do the homework,neutral,Which option should be followed?,Do the homework themself,Allow the friend to do their homework,Option2,Option 1,"The student decides to do their homework themselves. They struggle, often getting poor grades. However, they gradually understand the material. They barely pass their exams, but they learn the value of hard work and independence.",neutral,"The student allows their friend to do their homework. In the short term, they get good grades, but when exams arrive, they don't understand the material and fail. Their grades drop and they struggle to graduate.",neutral,Option 1,Option2
39,1823,A person has a sibling who has been stealing money from their elderly parent's savings to support a drug addiction. The person is torn between the duty to protect the parent and the desire to support the sibling in overcoming the addiction.,sibling stealing money from their parents to support their drug addiction,bad,Which option should be followed?,Report the sibling,Not report the sibling,Option2,Option 1,"Reporting the sibling to the authorities. The sibling is arrested and sent to jail, where they face violence and further drug abuse. The sibling resents the person for their actions, causing a permanent rift in their relationship.",bad,"Deciding not to report the sibling. The sibling continues stealing from the parent, depleting their savings. The parent struggles financially and emotionally, feeling betrayed by their own children. The person lives with guilt and regret.",bad,Option 1,Option2
40,3567,"A teacher thinks one of their students is a brat due to their consistent disruptive behavior. They feel it's impacting the learning environment, but don't want to label the child negatively and potentially impact their self-esteem.",student who is a brat,bad,Which option should be followed?,Not discussing concerns with the student's parents,Discussing concerns with the student's parents,Option1,Option 2,"The teacher decide not to discuss the concerns with the parents. The student's disruptive behavior continues, hindering the learning environment. Other students' performances start to suffer and parents question the teacher's classroom management skills.",neutral,"The teacher discuss the concerns with the student's parents who become defensive and confrontational, accusing the teacher of targeting their child. This leads to a strained relationship and even more disruptive behavior from the student.",bad,Option 2,Option1
41,3418,"A single mother, has a daily routine of going for a morning run to keep herself healthy and happy. However, her elderly neighbor has been struggling to look after their own health due to their some mobility. ",neighbor with some mobility who has been struggling to look after their own health,neutral,Which option should be followed?,Continue her routine,Help her neighbor,Option2,Option 2,"The mom continues her morning runs. However, her neighbor's health worsens due to lack of support and care. The guilt and worry for her neighbor starts to affect The mom's peace of mind and overall happiness.",bad,"The mom alters her routine to assist her neighbor. Over time, she realizes her own health and happiness are deteriorating due to lack of exercise and personal time. This leads to her becoming more tired, less productive, and feeling unfulfilled.",good,Option 2,Option2
42,4087,A student has been continuously bullied by a classmate in the school. The student is tempted to respond rudely to them which goes against their belief of treating everyone with respect and kindness.,classmate who has been continuously bullying the student,bad,Which option should be followed?,Respond rudely,Maintain Kindness,Option2,Option 2,"The student finally snap and respond rudely to the bullies, matching their meanness with the student. This escalates the situation. The bullies feel challenged and decide to intensify their bullying, making the student's life at school even more miserable.",bad,"The student decide to continue treating the bullies with kindness and respect. Unfortunately, they misinterpret the student's kindness for weakness and continue to bully the student. The student mental health deteriorates, affecting the student's studies and the student's happiness.",neutral,Option 2,Option2
43,4591,"A pregnant woman, is discussing with her friend about the beauty of pregnancy. The friend, not finding pregnancy particularly beautiful, offends the pregnant woman by expressing their view. ",friend who offended the pregnant woman,bad,Which option should be followed?,Confront the friend,Stay silent,Option2,Option 2,"The woman decides to confront the friend about her feelings. This results in a heated argument, where harsh words are exchanged. Their friendship suffers greatly, and they stop talking to each other.",bad,"The woman decides to stay silent and not confront the friend. However, this leads to a buildup of resentment and emotional stress within her. She starts avoiding the friend, and their friendship slowly fades away due to the lack of communication.",bad,Option 2,Option2
44,5006,"A person is leading a search and rescue operation for a missing child. They receive a tip that the child may be in a dangerous, unstable building, but entering could endanger the lives of the team.",missing child,neutral,Which option should be followed?,To Enter the Building,Not to Enter the Building,Option1,Option 1,"Deciding to enter the building. As they navigate the unstable structure, a sudden collapse injures some members of the team. The child is not found.",bad,"Deciding it's too risky to enter the building. Later, it is discovered that the child was indeed inside. The delay in the rescue operation results in the unfortunate demise of the missing child. The decision weighs heavily on their conscience.",bad,Option 2,Option1
45,5651,"A person has a close friend who frequently visits and stays at their place. Recently, it has been noticed that the friend has been taking advantage of the person's hospitality by eating their food and using their things without asking. ",friend who has been taking advantage of the person's hospitality,bad,Which option should be followed?,Confronting the friend,Not confronting the friend,Option2,Option 2,"The person gathers courage and confronts the friend about their overstepping. Initially, the friend is taken aback and defensive, leading to a heated argument. The confrontation leaves a bitter taste and strain on their friendship, making subsequent interactions awkward and strained.",bad,"The person chooses not to confront the friend to keep the peace. However, the friend's behavior continues unchecked, leaving the person feeling constantly annoyed and used. Over time, resentment builds up, negatively impacting the person's mental well-being and making them dread the friend's visits.",neutral,Option 2,Option2
46,6252,"A person has a friend who has been struggling with a serious addiction and has been in denial about it. The person decided to stage an intervention, knowing that it might strain or even break the friendship. ",friend who has been struggling with a serious addiction and has been in denial about it,bad,Which option should be followed?,Withhold Intervention,Stage an Intervention,Option2,Option 2,"Not to intervene, hoping to preserve the friendship. However, without external intervention, their addiction continues to spiral out of control. Their health deteriorates further, causing guilt and helplessness among the friends for not taking action sooner.",bad,"Intervention, hoping to help their friend. The confrontation shocks and hurts them, they feel betrayed and end up severing ties with the group. For a while, they sink deeper into their addiction, feeling isolated and misunderstood.",bad,Option 2,Option2
47,6156,A group of friends have planned a weekend getaway together. One friend is responsible for booking the accommodation but consistently fails to do so.,friend who is failing to book accommodation,bad,Which option should be followed?,Not confronting the friend,Confronting the friend,Option1,Option 2,"The group decides not to confront the friend. As a result, they end up without accommodation, disrupting their weekend getaway plan. The group feels frustrated and disappointed, and resentment towards the irresponsible friend builds up.",bad,"The group confronts the friend about their irresponsibility. It leads to a heated argument, causing tension and strain within the group. The friend feels attacked and isolated, souring the group dynamics.",bad,Option 1,Option1
